"","教室","月1","月2","月3","月4","月5","火1","火2","火3","火4","火5","水1","水2","水3","水4","水5","木1","木2","木3","木4","木5","金1","金2","金3","金4","金5"
"1","１０１０３教室","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","１０３１０教室","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0"
"3","テニスコート","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","0","0"
"4","９７５教室","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"5","７０２教室","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0"
"6","１０２０１教室","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0"
"7","ゼミ９５Ｈ","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","1","0"
"8","７１２教室","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0","0"
"9","ゼミ７４教室","0","0","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0"
"10","１３３教室","0","1","1","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","0"
"11","１２４教室","0","1","1","0","0","1","1","0","1","0","0","1","1","1","0","0","1","1","0","0","0","0","1","0","0"
"12","ゼミ７９教室","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0"
"13","研究室８４２９","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"14","研究室９７０９","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"15","１０３０８教室","1","1","1","1","0","1","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1"
"16","４１０教室","1","1","1","0","0","1","1","0","0","0","0","1","1","1","0","0","1","1","1","1","0","0","1","0","0"
"17","ゼミ９５Ｉ","0","1","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","1","0"
"18","ゼミ１０５Ｓ","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0"
"19","研究室９７１２","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0"
"20","１０２０９教室","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1"
"21","１０２０４教室","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"22","８１３教室","0","1","1","1","0","1","1","0","0","0","0","1","1","1","0","1","1","1","0","0","0","1","1","0","1"
"23","５２８教室","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1"
"24","２２２教室","0","1","1","1","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","0","1","0"
"25","９６１教室","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"26","ゼミ９５Ｃ","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","1","0","1","1","0","0","1","0","1","1"
"27","ゼミ１０５Ｊ","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0"
"28","９６８教室","0","1","0","0","0","1","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0"
"29","１０３０７教室","0","1","1","0","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","1","0","0","1","1","0"
"30","２２６教室","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0"
"31","ゼミ９５Ａ","0","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","1","0"
"32","ゼミ９５Ｆ","1","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","1","1","1","0","1","0","1","1"
"33","ゼミ９５Ｂ","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","0","1","1","1","0","0","0","1","0"
"34","研究室９７２１","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","１０１０２教室","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","８２３教室","0","1","1","1","0","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0"
"37","ゼミ７６教室","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","0","0"
"38","北グラウンド","0","0","0","0","0","1","1","1","0","0","1","1","0","1","0","1","1","0","0","0","1","1","1","0","0"
"39","９７６教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1"
"40","１１４教室","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","0","0"
"41","ゼミ９５Ｊ","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0"
"42","ゼミ９５Ｅ","1","1","1","1","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1"
"43","ゼミ１０５Ｕ","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","１０３１２教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0"
"45","ゼミ９５Ｄ","0","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0","1","0"
"46","１０２１４教室","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0"
"47","１０３１４教室","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1"
"48","１０２０５教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"49","１０２０３教室","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
"50","研究室９５２４","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"51","２２４教室","0","0","1","1","0","0","1","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","0"
"52","２２１教室","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0"
"53","１０３０３教室","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1"
"54","１０２１２教室","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1"
"55","７２３教室","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0"
"56","９７２教室","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0"
"57","１０２１０教室","0","1","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"58","スタジオ２０２","0","1","1","0","1","1","1","1","0","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","1"
"59","ゼミ７７教室","0","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","0"
"60","ゼミ１０５Ｇ","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","1","1","0","0","1","0","0"
"61","研究室１０６３４","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1"
"62","１３２教室","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"63","１０３０２教室","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","0"
"64","３３６教室","0","1","0","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1"
"65","１０３０１教室","0","1","1","1","0","0","1","0","0","1","0","1","1","1","1","0","1","1","1","0","0","1","1","1","0"
"66","１０２１５教室","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0"
"67","シアター２０１","0","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1"
